"artist","song","years_old_13","years_old_12","years_old_11","years_old_10","years_old_9","years_old_8","years_old_7","years_old_6","years_old_5","years_old_4","years_old_3","years_old_2","years_old_1","years_old_0","years_pre_birth_1","years_pre_birth_2","years_pre_birth_3","years_pre_birth_4","years_pre_birth_5","years_pre_birth_6","years_pre_birth_7","years_pre_birth_8","years_pre_birth_9","years_pre_birth_10"
"Britney Spears","..Baby One More Time",0.990476190476191,0.984126984126984,0.982758620689655,1,1,0.96969696969697,1,1,1,1,0.976190476190476,0.974358974358974,0.979166666666667,0.933333333333333,0.916666666666667,0,0,0,0,0,0,0,0,0
"Bryan Adams","All For Love",0.725341776744339,0.672727272727273,0.543478260869565,0.568965517241379,0.420289855072464,0.421875,0.323943661971831,0.285714285714286,0.318840579710145,0.235294117647059,0.254545454545455,0.183673469387755,0.32,0.142857142857143,0.189655172413793,0.217391304347826,0.227272727272727,0.2,0.24,0.222222222222222,0,0,0,0
"Bryan Adams","Can't Stop This Thing We Started",0.78006686545586,0.681818181818182,0.489795918367347,0.450980392156863,0.555555555555556,0.483333333333333,0.372881355932203,0.384615384615385,0.376811594202899,0.323076923076923,0.303030303030303,0.277777777777778,0.272727272727273,0.223880597014925,0.2,0.219512195121951,0.170212765957447,0.183673469387755,0.224137931034483,0.108108108108108,0.176470588235294,0.4,0.185185185185185,0
"Bryan Adams","Everything I Do I Do It For You",0.95221027479092,0.939393939393939,0.958333333333333,0.962962962962963,0.9,0.925925925925926,0.892307692307692,0.884057971014493,0.833333333333333,0.780487804878049,0.776119402985075,0.75,0.734375,0.647887323943662,0.517241379310345,0.526315789473684,0.557692307692308,0.361702127659574,0.553191489361702,0.5,0.243243243243243,0.333333333333333,0.454545454545455,0
"Bryan Adams","Have You Ever Really Loved A Woman?",0.650451733785067,0.647058823529412,0.549295774647887,0.441176470588235,0.426470588235294,0.382716049382716,0.378787878787879,0.294871794871795,0.322033898305085,0.127659574468085,0.283018867924528,0.163934426229508,0.195121951219512,0.105263157894737,0.145833333333333,0.0425531914893617,0.228571428571429,0.08,0.0909090909090909,0,0,0,0,0
"Busta Rhymes","What's It Gonna Be?!",0.339251373626374,0.107142857142857,0.1,0.111111111111111,0.125,0,0.075,0.0416666666666667,0.0408163265306122,0.0588235294117647,0.0416666666666667,0.0222222222222222,0.0967741935483871,0.0588235294117647,0.04,0,0,0,0,0,0,0,0,0
"C and C Music Factory","Gonna Make You Sweat",0.93616452991453,0.95,0.976744186046512,0.964285714285714,0.851851851851852,0.844444444444444,0.877551020408163,0.876923076923077,0.956521739130435,0.876923076923077,0.835820895522388,0.816326530612245,0.950819672131147,0.830985915492958,0.841269841269841,0.847457627118644,0.872340425531915,0.822222222222222,0.666666666666667,0.702127659574468,0.666666666666667,0.78125,0.55,0
"C and C Music Factory","Here We Go",0.841269841269841,0.697674418604651,0.734375,0.55,0.563636363636364,0.540983606557377,0.490566037735849,0.508771929824561,0.432432432432432,0.507042253521127,0.358974358974359,0.388888888888889,0.3125,0.358490566037736,0.413793103448276,0.394736842105263,0.3125,0.282608695652174,0.25,0.333333333333333,0.25,0.3,0.387096774193548,0
"C+C Music Factory","Things That Make You Go Hmmmm",0.714646464646465,0.714285714285714,0.58974358974359,0.558823529411765,0.375,0.375,0.285714285714286,0.338709677419355,0.3125,0.166666666666667,0.202898550724638,0.1875,0.307692307692308,0.169491525423729,0.0625,0.152542372881356,0.125,0.0851063829787234,0.108108108108108,0.186046511627907,0.21875,0.186046511627907,0,0
"Calloway","I Wanna Be Rich",0.252037281022788,0.315789473684211,0.2,0.212765957446809,0.134615384615385,0.04,0.08,0.15625,0.169491525423729,0.0363636363636364,0.0769230769230769,0.0133333333333333,0.0566037735849057,0.087719298245614,0.101694915254237,0.0212765957446809,0.0425531914893617,0.02,0.0697674418604651,0.0222222222222222,0.0666666666666667,0.0465116279069767,0.0606060606060606,0.107142857142857
"Cathy Dennis","Touch Me",0.601364522417154,0.622641509433962,0.547619047619048,0.518518518518518,0.375,0.40625,0.222222222222222,0.350877192982456,0.181818181818182,0.0579710144927536,0.15625,0.0875,0.169230769230769,0.0769230769230769,0.105263157894737,0.0943396226415094,0.06,0.115942028985507,0.0576923076923077,0.111111111111111,0.0882352941176471,0.107142857142857,0.178571428571429,0
"Celine Dion","All By Myself",0.852020202020202,0.845070422535211,0.785714285714286,0.780821917808219,0.739130434782609,0.82,0.65,0.727272727272727,0.652777777777778,0.578125,0.630434782608696,0.6875,0.537037037037037,0.472222222222222,0.558823529411765,0.558823529411765,0.411764705882353,0,0,0,0,0,0,0
